ID,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Rank,TaxonName,Lineage
3808,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus phi7,Species,Lactococcus virus phi7,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus phi7
3809,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus phi15,Species,Lactococcus virus phi15,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus phi15
3810,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus Phi42,Species,Lactococcus virus Phi42,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus Phi42
3811,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus Phi44,Species,Lactococcus virus Phi44,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus Phi44
3812,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus Phi109,Species,Lactococcus virus Phi109,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus Phi109
3813,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus phi145,Species,Lactococcus virus phi145,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus phi145
3814,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus Phi155,Species,Lactococcus virus Phi155,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus Phi155
3815,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus Phi193,Species,Lactococcus virus Phi193,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus Phi193
3816,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus Phi512,Species,Lactococcus virus Phi512,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus Phi512
3817,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus Phi91127,Species,Lactococcus virus Phi91127,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus Phi91127
3818,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus PhiA16,Species,Lactococcus virus PhiA16,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus PhiA16
3819,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus PhiB1127,Species,Lactococcus virus PhiB1127,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus PhiB1127
3820,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus PhiE1127,Species,Lactococcus virus PhiE1127,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus PhiE1127
3821,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus PhiF0139,Species,Lactococcus virus PhiF0139,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus PhiF0139
3822,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus PhiJF1,Species,Lactococcus virus PhiJF1,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus PhiJF1
3823,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus PhiL6,Species,Lactococcus virus PhiL6,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus PhiL6
3824,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus PhiL18,Species,Lactococcus virus PhiL18,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus PhiL18
3825,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus PhiLj,Species,Lactococcus virus PhiLj,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus PhiLj
3826,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus PhiM1127,Species,Lactococcus virus PhiM1127,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus PhiM1127
3827,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus PhiS0139,Species,Lactococcus virus PhiS0139,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus PhiS0139
3828,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus R31,Species,Lactococcus virus R31,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus R31
3829,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus sk1,Species,Lactococcus virus sk1,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus sk1
3830,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Skunavirus,,Lactococcus virus Sl4,Species,Lactococcus virus Sl4,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Skunavirus;Lactococcus virus Sl4
3831,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Slashvirus,,,Genus,Slashvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Slashvirus
3832,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Slashvirus,,Bacillus virus Slash,Species,Bacillus virus Slash,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Slashvirus;Bacillus virus Slash
3833,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Slashvirus,,Bacillus virus Stahl,Species,Bacillus virus Stahl,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Slashvirus;Bacillus virus Stahl
3834,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Slashvirus,,Bacillus virus Staley,Species,Bacillus virus Staley,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Slashvirus;Bacillus virus Staley
3835,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Slashvirus,,Bacillus virus Stills,Species,Bacillus virus Stills,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Slashvirus;Bacillus virus Stills
3836,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sleepyheadvirus,,,Genus,Sleepyheadvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sleepyheadvirus
3837,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sleepyheadvirus,,Rhodococcus virus Sleepyhead,Species,Rhodococcus virus Sleepyhead,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sleepyheadvirus;Rhodococcus virus Sleepyhead
3838,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Smoothievirus,,,Genus,Smoothievirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Smoothievirus
3839,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Smoothievirus,,Gordonia virus Bachita,Species,Gordonia virus Bachita,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Smoothievirus;Gordonia virus Bachita
3840,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Smoothievirus,,Gordonia virus ClubL,Species,Gordonia virus ClubL,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Smoothievirus;Gordonia virus ClubL
3841,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Smoothievirus,,Gordonia virus Smoothie,Species,Gordonia virus Smoothie,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Smoothievirus;Gordonia virus Smoothie
3842,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sonalivirus,,,Genus,Sonalivirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sonalivirus
3843,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sonalivirus,,Arthrobacter virus Sonali,Species,Arthrobacter virus Sonali,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sonalivirus;Arthrobacter virus Sonali
3844,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Soupsvirus,,,Genus,Soupsvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Soupsvirus
3845,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Soupsvirus,,Gordonia virus Soups,Species,Gordonia virus Soups,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Soupsvirus;Gordonia virus Soups
3846,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Soupsvirus,,Gordonia virus Strosahl,Species,Gordonia virus Strosahl,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Soupsvirus;Gordonia virus Strosahl
3847,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Soupsvirus,,Gordonia virus Wait,Species,Gordonia virus Wait,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Soupsvirus;Gordonia virus Wait
3848,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sourvirus,,,Genus,Sourvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sourvirus
3849,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sourvirus,,Gordonia virus Sour,Species,Gordonia virus Sour,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sourvirus;Gordonia virus Sour
3850,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sozzivirus,,,Genus,Sozzivirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sozzivirus
3851,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sozzivirus,,Oenococcus virus phi9805,Species,Oenococcus virus phi9805,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sozzivirus;Oenococcus virus phi9805
3852,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sozzivirus,,Oenococcus virus phiS11,Species,Oenococcus virus phiS11,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sozzivirus;Oenococcus virus phiS11
3853,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sozzivirus,,Oenococcus virus phiS13,Species,Oenococcus virus phiS13,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sozzivirus;Oenococcus virus phiS13
3854,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sparkyvirus,,,Genus,Sparkyvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sparkyvirus
3855,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sparkyvirus,,Mycobacterium virus Sparky,Species,Mycobacterium virus Sparky,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sparkyvirus;Mycobacterium virus Sparky
3856,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Spbetavirus,,,Genus,Spbetavirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Spbetavirus
3857,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Spbetavirus,,Bacillus virus SPbeta,Species,Bacillus virus SPbeta,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Spbetavirus;Bacillus virus SPbeta
3858,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Spizizenvirus,,,Genus,Spizizenvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Spizizenvirus
3859,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Spizizenvirus,,Bacillus virus phi105,Species,Bacillus virus phi105,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Spizizenvirus;Bacillus virus phi105
3860,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Squashvirus,,,Genus,Squashvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Squashvirus
3861,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Squashvirus,,Microbacterium virus Hyperion,Species,Microbacterium virus Hyperion,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Squashvirus;Microbacterium virus Hyperion
3862,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Squashvirus,,Microbacterium virus Squash,Species,Microbacterium virus Squash,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Squashvirus;Microbacterium virus Squash
3863,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Squirtyvirus,,,Genus,Squirtyvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Squirtyvirus
3864,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Squirtyvirus,,Mycobacterium virus Squirty,Species,Mycobacterium virus Squirty,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Squirtyvirus;Mycobacterium virus Squirty
3865,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Stanholtvirus,,,Genus,Stanholtvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Stanholtvirus
3866,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Stanholtvirus,,Burkholderia virus phi6442,Species,Burkholderia virus phi6442,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Stanholtvirus;Burkholderia virus phi6442
3867,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Stanholtvirus,,Burkholderia virus phi1026b,Species,Burkholderia virus phi1026b,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Stanholtvirus;Burkholderia virus phi1026b
3868,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Stanholtvirus,,Burkholderia virus phiE125,Species,Burkholderia virus phiE125,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Stanholtvirus;Burkholderia virus phiE125
3869,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Steinhofvirus,,,Genus,Steinhofvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Steinhofvirus
3870,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Steinhofvirus,,Achromobacter virus 83-24,Species,Achromobacter virus 83-24,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Steinhofvirus;Achromobacter virus 83-24
3871,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Steinhofvirus,,Achromobacter virus JWX,Species,Achromobacter virus JWX,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Steinhofvirus;Achromobacter virus JWX
3872,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sukhumvitvirus,,,Genus,Sukhumvitvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sukhumvitvirus
3873,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Sukhumvitvirus,,Lactobacillus virus T25,Species,Lactobacillus virus T25,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Sukhumvitvirus;Lactobacillus virus T25
3874,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Tandoganvirus,,,Genus,Tandoganvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Tandoganvirus
3875,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Tandoganvirus,,Anoxybacillus virus A403,Species,Anoxybacillus virus A403,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Tandoganvirus;Anoxybacillus virus A403
3876,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Tankvirus,,,Genus,Tankvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Tankvirus
3877,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Tankvirus,,Arthrobacter virus Tank,Species,Arthrobacter virus Tank,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Tankvirus;Arthrobacter virus Tank
3878,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Tantvirus,,,Genus,Tantvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Tantvirus
3879,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Tantvirus,,Flavobacterium virus Tant,Species,Flavobacterium virus Tant,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Tantvirus;Flavobacterium virus Tant
3880,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Terapinvirus,,,Genus,Terapinvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Terapinvirus
3881,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Terapinvirus,,Gordonia virus Suzy,Species,Gordonia virus Suzy,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Terapinvirus;Gordonia virus Suzy
3882,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Terapinvirus,,Gordonia virus Terapin,Species,Gordonia virus Terapin,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Terapinvirus;Gordonia virus Terapin
3883,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Teubervirus,,,Genus,Teubervirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Teubervirus
3884,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Teubervirus,,Lactococcus virus AM6,Species,Lactococcus virus AM6,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Teubervirus;Lactococcus virus AM6
3885,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Teubervirus,,Lactococcus virus LW31,Species,Lactococcus virus LW31,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Teubervirus;Lactococcus virus LW31
3886,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Teubervirus,,Lactococcus virus P087,Species,Lactococcus virus P087,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Teubervirus;Lactococcus virus P087
3887,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Teubervirus,,Lactococcus virus P596,Species,Lactococcus virus P596,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Teubervirus;Lactococcus virus P596
3888,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Teubervirus,,Lactococcus virus phiQ1,Species,Lactococcus virus phiQ1,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Teubervirus;Lactococcus virus phiQ1
3889,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Thetabobvirus,,,Genus,Thetabobvirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Thetabobvirus
3890,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Thetabobvirus,,Mycobacterium virus Renaud18,Species,Mycobacterium virus Renaud18,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Thetabobvirus;Mycobacterium virus Renaud18
3891,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Thetabobvirus,,Mycobacterium virus TChen,Species,Mycobacterium virus TChen,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Thetabobvirus;Mycobacterium virus TChen
3892,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Thetabobvirus,,Mycobacterium virus ThetaBob,Species,Mycobacterium virus ThetaBob,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Thetabobvirus;Mycobacterium virus ThetaBob
3893,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Tigunavirus,,,Genus,Tigunavirus,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Tigunavirus
3894,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Caudovirales,,Siphoviridae,,Tigunavirus,,Streptomyces virus TG1,Species,Streptomyces virus TG1,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Tigunavirus;Streptomyces virus TG1
